"194863","occ","","","19984","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","2616","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194887","occ","","","20001","Mammut americanum","species","46016","Blancan","","4.9","1.8","2062","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"194962","occ","","","20020","Stegomastodon mirificus","species","47939","Blancan","Irvingtonian","4.9","0.3","2780","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"194995","occ","","","20024","Dibelodon praecursor","species","45648","Blancan","","4.9","1.8","1309","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"194997","occ","","","20025","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","2552","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"195028","occ","","","20030","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","1309","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"195074","occ","","","20033","Stegomastodon mirificus","species","47939","Blancan","","4.9","1.8","3015","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"195300","occ","","","20063","Mammut americanum","species","46016","Blancan","","4.9","1.8","1751","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"195333","occ","","","20072","Dibelodon praecursor","species","45648","Blancan","","4.9","1.8","2594","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"195361","occ","31886","","20075","Rhynchotherium falconeri","species","51364","Blancan","","4.9","1.8","57025","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"195848","occ","","","20125","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","1186","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"195920","occ","","","20128","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","1186","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"196029","occ","","","20143","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2419","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"196055","occ","9190","","20148","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2391","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"196127","occ","","","20157","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3211","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"196167","occ","","","20163","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6202","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"196667","occ","19232","","20274","Cuvieronius tropicus","species","45650","Irvingtonian","","1.8","0.3","19636","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"196740","occ","","","20283","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","2607","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"196741","occ","9308","","20283","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"196787","occ","","","20288","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","6202","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"196938","occ","","","20295","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1907","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"196992","occ","","","20299","Cuvieronius tropicus","species","45650","Irvingtonian","","1.8","0.3","2615","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"197128","occ","","","20307","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","1558","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"197161","occ","","","20308","Cuvieronius tropicus","species","45650","Irvingtonian","","1.8","0.3","2615","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"197162","occ","","","20308","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","2615","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"197189","occ","","","20310","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","4222","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197190","occ","","","20310","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","4222","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"197259","occ","9438","","20318","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197303","occ","","","20322","Mammuthus columbi","species","46017","Blancan","","4.9","1.8","2245","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197332","occ","","","20323","Mammut americanum","species","46016","Irvingtonian","Rancholabrean","1.8","0.012","2018","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"197333","occ","","","20323","Mammuthus columbi","species","46017","Irvingtonian","Rancholabrean","1.8","0.012","2018","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197418","occ","","","20339","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1794","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197451","occ","9477","","20342","Morrillia barbouri","species","52217","Irvingtonian","","1.8","0.3","2392","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Morrillia"
"197453","occ","9478","","20342","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197466","occ","9486","","20343","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","3574","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197504","occ","","","20347","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1916","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197587","occ","","","20351","Cuvieronius tropicus","species","45650","Irvingtonian","","1.8","0.3","2615","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"197601","occ","","","20353","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3099","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197632","occ","","","20354","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","1727","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"197706","occ","","","20373","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","4222","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197723","occ","","","20375","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1916","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197736","occ","","","20377","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","3099","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"197750","occ","9550","","20382","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197751","occ","9551","","20382","Cuvieronius priestleyi","species","46698","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"197805","occ","","","20384","Mammut americanum","species","46016","Blancan","","4.9","1.8","3580","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"197846","occ","","","20386","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2854","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197862","occ","","","20387","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3014","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197925","occ","","","20390","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1912","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197958","occ","9603","","20396","Cuvieronius tropicus","species","45650","Irvingtonian","","1.8","0.3","2619","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"197959","occ","9604","","20396","Stegomastodon mirificus","species","47939","Irvingtonian","","1.8","0.3","2619","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"197960","occ","9605","","20396","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","2299","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"197967","occ","9607","","20397","Mammuthus hayi","species","44254","Blancan","Irvingtonian","4.9","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"198015","occ","","","20400","Mammut americanum","species","46016","Irvingtonian","","1.8","0.3","1960","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"198016","occ","9622","","20400","Cuvieronius tropicus","species","45650","Irvingtonian","","1.8","0.3","3574","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"198017","occ","9623","","20400","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","3574","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
