"accepted_name","accepted_rank","max_ma","min_ma","family","genus","lng","lat"
"Deinotherium bozasi","species","23.03","0.0117","Deinotheriidae","Deinotherium","40.541698","10.625000"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","40.541698","10.625000"
"Palaeoloxodon recki","species","5.333","3.6","Elephantidae","Elephas","40.500000","10.466700"
"Anancus kenyensis","species","5.333","3.6","Gomphotheriidae","Anancus","40.500000","10.466700"
"Primelephas korotorensis","species","11.62","3.6","Elephantidae","Primelephas","40.250000","10.316700"
"Palaeoloxodon recki","species","2.588","0","Elephantidae","Elephas","40.483299","10.900000"
"Tetralophodon","genus","13.82","7.246","Gomphotheriidae","Tetralophodon","40.500000","10.666700"
"Primelephas korotorensis","species","11.62","3.6","Elephantidae","Primelephas","40.250000","10.316700"
"Stegotetrabelodon orbus","species","11.62","3.6","Elephantidae","Stegotetrabelodon","40.250000","10.316700"
"Anancus kenyensis","species","11.62","3.6","Gomphotheriidae","Anancus","40.250000","10.316700"
"Stegodon","genus","11.62","3.6","Elephantidae","Stegodon","40.250000","10.316700"
"Gomphotheriidae","family","11.62","3.6","Gomphotheriidae","","40.250000","10.316700"
"Stegodon kaisensis","species","11.62","3.6","Elephantidae","Stegodon","40.250000","10.316700"
"Anancus kenyensis","species","11.62","3.6","Gomphotheriidae","Anancus","40.233299","10.366700"
"Stegotetrabelodon orbus","species","11.62","3.6","Elephantidae","Stegotetrabelodon","40.233299","10.366700"
"Stegodibelodon schneideri","species","11.62","3.6","Elephantidae","Stegodibelodon","40.233299","10.366700"
"Palaeoloxodon recki","species","2.588","0","Elephantidae","Elephas","40.583302","10.566700"
"Palaeoloxodon recki","species","5.333","0.0117","Elephantidae","Elephas","40.583302","10.500000"
"Deinotherium bozasi","species","5.333","0.0117","Deinotheriidae","Deinotherium","40.583302","10.500000"
"Mammuthus","genus","5.333","3.6","Elephantidae","Mammuthus","40.500000","10.466700"
"Palaeoloxodon recki","species","5.333","3.6","Elephantidae","Elephas","40.500000","10.466700"
"Anancus","genus","5.333","3.6","Gomphotheriidae","Anancus","40.500000","10.466700"
"Loxodonta","genus","5.333","3.6","Elephantidae","Loxodonta","40.500000","10.466700"
"Mammuthus","genus","5.333","3.6","Elephantidae","Mammuthus","40.500000","10.466700"
"Palaeoloxodon recki","species","2.588","0","Elephantidae","Elephas","40.541698","10.625000"
