Species	Status	min_age	max_age
Serbelodon_burnhami	extinct	10.3	13.6
Gomphotheriidae	extinct	10.3	13.6
Proboscidea	extinct	4.9	10.3
Proboscidea	extinct	4.9	10.3
Proboscidea	extinct	4.9	10.3
Gomphotherium_obscurum	extinct	5.333	23.03
Gomphotheriidae	extinct	5.333	23.03
Rhynchotherium_falconeri	extinct	4.9	10.3
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	13.6	15.97
Mammutidae	extinct	13.6	15.97
Proboscidea	extinct	5.333	23.03
Mammut	extinct	4.9	10.3
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	13.6	15.97
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Mammut	extinct	4.9	10.3
Gomphotherium	extinct	10.3	13.6
Serbelodon_burnhami	extinct	10.3	13.6
Gomphotherium	extinct	5.333	23.03
Gomphotherium_obscurum	extinct	13.6	15.97
Gomphotherium	extinct	10.3	13.6
Zygolophodon	extinct	13.6	15.97
Gomphotheriidae	extinct	5.333	23.03
Gomphotheriidae	extinct	10.3	13.6
Gomphotheriidae	extinct	5.333	23.03
Proboscidea	extinct	5.333	23.03
Gomphotherium	extinct	10.3	13.6
Gomphotheriidae	extinct	10.3	13.6
Rhynchotherium_falconeri	extinct	4.9	10.3
Mammut_matthewi	extinct	4.9	10.3
Gomphotherium_obscurum	extinct	5.333	23.03
Gomphotheriidae	extinct	4.9	10.3
Stegomastodon	extinct	1.8	4.9
Rhynchotherium_falconeri	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Cuvieronius	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Cuvieronius	extinct	1.8	4.9
Stegomastodon	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Rhynchotherium	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Rhynchotherium	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Mammut_americanum	extinct	1.8	4.9
Mammut_cosoensis	extinct	1.8	4.9
Stegomastodon_mirificus	extinct	1.8	4.9
Dibelodon_praecursor	extinct	1.8	4.9
Mammutidae	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Mammutidae	extinct	1.8	4.9
Mammut_matthewi	extinct	1.8	4.9
Stegomastodon	extinct	2.588	3.6
Gomphotheriidae	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Proboscidea	extinct	1.8	4.9
Gomphotheriidae	extinct	1.8	4.9
Cuvieronius_tropicus	extinct	1.8	4.9
Cuvieronius_tropicus	extinct	0.3	4.9
Gomphotheriidae	extinct	1.8	4.9
Cuvieronius	extinct	1.8	4.9
Cuvieronius_tropicus	extinct	1.8	4.9
