"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1007266","occ","","","115305","Membracites cristatus","species","212523","Sarmatian","","12.7","11.608","39159"
"1007267","occ","","","115305","Cercopis oeningensis","species","212527","Sarmatian","","12.7","11.608","39159"
"1007268","occ","","","115305","Aphrophora spumarioides","species","212533","Sarmatian","","12.7","11.608","39159"
"1007269","occ","","","115304","Pachycoris germari","species","212387","Sarmatian","","12.7","11.608","39159"
"1007270","occ","","","115304","Cydnus atavinus","species","207395","Sarmatian","","12.7","11.608","39159"
"1007271","occ","","","115304","Pentatoma antiquum","species","212428","Sarmatian","","12.7","11.608","39159"
"1007272","occ","","","115304","Pentatoma vetustum","species","212429","Sarmatian","","12.7","11.608","39159"
"1007273","occ","","","115304","Pentatoma stigmatum","species","212434","Sarmatian","","12.7","11.608","39159"
"1007274","occ","","","115304","Eurydema effossa","species","212442","Sarmatian","","12.7","11.608","39159"
"1007275","occ","","","115304","Eusarcoris prodromus","species","207406","Sarmatian","","12.7","11.608","39159"
"1007276","occ","","","115304","Harmostites oeningensis","species","212454","Sarmatian","","12.7","11.608","39159"
"1007277","occ","","","115304","Hypselonotus lavateri","species","212456","Sarmatian","","12.7","11.608","39159"
"1007278","occ","","","115304","Berytopsis femoralis","species","212463","Sarmatian","","12.7","11.608","39159"
"1007279","occ","","","115304","Harpactor longipes","species","212494","Sarmatian","","12.7","11.608","39159"
"1007280","occ","","","115304","Lyristes emathion","species","212513","Sarmatian","","12.7","11.608","39159"
"1007281","occ","","","115304","Aphrophora spumarioides","species","212533","Sarmatian","","12.7","11.608","39159"
"1007282","occ","","","122865","Tetyra hassii","species","212390","Sarmatian","","12.7","11.608","39159"
"1007289","occ","","","122212","Aphrophora molassica","species","212534","Late Oligocene","","28.4","23.03","39159"
"1007290","occ","","I","115304","Pemphigus bursifex","species","212561","Sarmatian","","12.7","11.608","39159"
"1007291","occ","30050","","122872","Heeralydus bucculatus","species","297036","Sarmatian","","12.7","11.608","51650"
"1007292","occ","","","122866","Cydnopsis haidingeri","species","207397","Sarmatian","","12.7","11.608","39159"
"1007293","occ","","","122866","Ledophora producta","species","212545","Sarmatian","","12.7","11.608","39159"
"1007294","occ","","","122866","Cicadellites oblongus","species","212551","Sarmatian","","12.7","11.608","39159"
"1007295","occ","","","122866","Syromastes coloratus","species","212460","Sarmatian","","12.7","11.608","39159"
"1007296","occ","","","122866","Lygaeus dasypus","species","212564","Sarmatian","","12.7","11.608","39159"
"1007297","occ","","","122866","Pachymerus morio","species","212566","Sarmatian","","12.7","11.608","39159"
"1007298","occ","","","122866","Lygaeites acutus","species","212569","Sarmatian","","12.7","11.608","39159"
"1007299","occ","","","113695","Cydnus tertiarius","species","207392","Sarmatian","","12.7","11.608","39159"
"1007300","occ","","","113695","Heteroptera","suborder","70516","Sarmatian","","12.7","11.608","39159"
"1007301","occ","","","122867","Cydnus sagittifer","species","207386","Sarmatian","","12.7","11.608","39159"
"1007302","occ","","","122868","Aelia obsoleta","species","212437","Sarmatian","","12.7","11.608","39159"
"1007303","occ","","","122868","Halys bruckmanni","species","212438","Sarmatian","","12.7","11.608","39159"
"1007304","occ","","","122868","Harpactor bruckmanni","species","212498","Sarmatian","","12.7","11.608","39159"
"1007305","occ","","","122868","Cicadellites bruckmanni","species","212552","Sarmatian","","12.7","11.608","39159"
"1007306","occ","","","122869","Syromastes affinis","species","212459","Sarmatian","","12.7","11.608","39159"
"1007307","occ","","","122869","Aphrophora spumarioides","species","212533","Sarmatian","","12.7","11.608","39159"
"1007308","occ","","","122870","Syromastes coloratus","species","212460","Sarmatian","","12.7","11.608","39159"
"1007309","occ","","","122870","Syromastes buchii","species","212461","Sarmatian","","12.7","11.608","39159"
"1007310","occ","","","122870","Coreites redemtus","species","212467","Sarmatian","","12.7","11.608","39159"
"1007311","occ","","","122870","Lygaeus tinctus","species","212468","Sarmatian","","12.7","11.608","39159"
"1007312","occ","","","122870","Lygaeites ovalis","species","212484","Sarmatian","","12.7","11.608","39159"
"1007313","occ","","","122870","Corixidae","family","71802","Sarmatian","","12.7","11.608","39159"
"1007314","occ","","","122875","Cicada aichhorni","species","212514","Sarmatian","","12.7","11.608","39159"
"1007315","occ","","","117250","Cydnopsis coleopteroides","species","212392","Sarmatian","","12.7","11.608","39159"
"1007316","occ","","","117250","Cydnus tertiarius","species","207392","Sarmatian","","12.7","11.608","39159"
"1007317","occ","","","117250","Lygaeus atavinus","species","212470","Sarmatian","","12.7","11.608","39159"
"1007318","occ","","","117250","Cercopis gigantea","species","212524","Sarmatian","","12.7","11.608","39159"
"1007319","occ","","","117250","Lygaeus ventralis","species","212565","Sarmatian","","12.7","11.608","39159"
"1007320","occ","","","117250","Lygaeites lividus","species","212568","Sarmatian","","12.7","11.608","39159"
"1007321","occ","","","117246","Cydnopsis haidingeri","species","207397","Sarmatian","","12.7","11.608","39159"
"1007322","occ","","","117246","Neurocoris elongatus","species","212395","Sarmatian","","12.7","11.608","39159"
"1007323","occ","","","117246","Pentatoma lividum","species","212433","Sarmatian","","12.7","11.608","39159"
"1007324","occ","","","117246","Acanthosoma morloti","species","212443","Sarmatian","","12.7","11.608","39159"
"1007325","occ","","","117246","Acanthosoma livida","species","212444","Sarmatian","","12.7","11.608","39159"
"1007326","occ","","","117246","Spartocerus maculatus","species","212448","Sarmatian","","12.7","11.608","39159"
"1007327","occ","","","117246","Palaeocoris spectabilis","species","212450","Sarmatian","","12.7","11.608","39159"
"1007328","occ","","","117246","Coreites crassus","species","212465","Sarmatian","","12.7","11.608","39159"
"1007329","occ","","","117246","Coreites oblongus","species","212466","Sarmatian","","12.7","11.608","39159"
"1007330","occ","","","117246","Heterogaster radobojanus","species","211057","Sarmatian","","12.7","11.608","39159"
"1007331","occ","","","117246","Aradus antediluvianus","species","212489","Sarmatian","","12.7","11.608","39159"
"1007332","occ","","","117246","Tingis obscura","species","212491","Sarmatian","","12.7","11.608","39159"
"1007333","occ","","","117246","Nabis livida","species","212493","Sarmatian","","12.7","11.608","39159"
"1007334","occ","","","117246","Nabis maculata","species","211055","Sarmatian","","12.7","11.608","39159"
