Species	Status
Cercopis_grandescens	extinct
Cercopis_lanceolata	extinct
Cercopis_longicollis	extinct
Cercopis_melaena	extinct
Cercopis_oeningensis	extinct
Cercopis_pallida	extinct
Cercopis_rectelinea	extinct
Cercopis_selwyni	extinct
Cercopis_suffocata	extinct
Cercopites_calliscens	extinct
Cercopites_torpescens	extinct
Cercopites_umbratilis	extinct
Cercopoidea	extinct
Ceresopsis_costalis	extinct
Ceresopsis_ornata	extinct
Ceresopsis_vitrea	extinct
Chalicoridulum_montsecensis	extinct
Chanithus_vishneviensis	extinct
Chengdecercopis_xiaofanzhangziensis	extinct
Chilacis_univestis	extinct
Chiliocycla_scolopoides	extinct
Chinchekoala_qunita	extinct
Chloriona_stavropolitana	extinct
Cholula_triguttata	extinct
Chorotingioites_priscus	extinct
Cicada_aichhorni	extinct
Cicada_bifasciata	extinct
Cicada_grandiosa	extinct
Cicada_orni	extant
Cicada_ungeri	extinct
Cicadatra_serresi	extinct
Cicadella_scudderi	extinct
Cicadella_viridis	extant
Cicadellidae	extinct
Cicadellites_bruckmanni	extinct
Cicadellites_nigriventris	extinct
Cicadellites_oblongus	extinct
Cicadellites_obscurus	extinct
Cicadellites_pallidus	extinct
Cicadellites_theobaldi	extinct
Cicadellium_dipsas	extinct
Cicadellium_pulcher	extinct
Cicadellopsis_incerta	extinct
Cicadellopsis_issykkulica	extinct
Cicadidae	extinct
Cicadocoris	extinct
Cicadocoris_abditus	extinct
Cicadocoris_affinis	extinct
Cicadocoris_ambiguus	extinct
Cicadocoris_anglicus	extinct
Cicadocoris_arcuatus	extinct
Cicadocoris_assimilis	extinct
Cicadocoris_brunneus	extinct
Cicadocoris_cognatus	extinct
Cicadocoris_complexus	extinct
Cicadocoris_confinis	extinct
Cicadocoris_conjunctus	extinct
Cicadocoris_fidus	extinct
Cicadocoris_frater	extinct
Cicadocoris_ignoratus	extinct
Cicadocoris_incompletus	extinct
Cicadocoris_intermedius	extinct
Cicadocoris_kuliki	extinct
Cicadocoris_kuzbasicus	extinct
Cicadocoris_lilliputus	extinct
Cicadocoris_minutus	extinct
Cicadocoris_modestus	extinct
Cicadocoris_paulinus	extinct
Cicadocoris_similis	extinct
Cicadocoris_sinensis	extinct
Cicadocoris_sogjutensis	extinct
Cicadocoris_turanicus	extinct
Cicadocoris_varians	extinct
Cicadoidea	extinct
Cicadoides_orientalis	extinct
Cicadoides_shandongensis	extinct
Cicadomorpha	extinct
Cicadomorpha_milva	extinct
Cicadomorpha_parula	extinct
Cicadomorpha_punctulata	extinct
Cicadoprosbole_sogutensis	extinct
Cicadopsis	extinct
Cicadopsis_rugosipenna	extinct
Cicadopsylla_permiana	extinct
Cicadopsyllidium_elongatum	extinct
Cicadopsyllidium_mongolicum	extinct
Cicadopsyllidium_stenoptilium	extinct
Cicadula_saxosa	extinct
Cilicydnus_robustispinus	extinct
Cimicidium_dallasi	extinct
Cimicoidea	extinct
Cinara_(Cinara)_elegans	extinct
Cinara_(Cinara)_limnogena	extinct
Cinara_(Cinara)_pastica	extinct
Cinara_(Cinara)_reconditivenia	extinct
Cinemala_contrasta	extinct
Cintux_menatensis	extinct
Cixiella_reducta	extinct
Cixiidae	extinct
Cixiites_liasinus	extinct
Cixioides_maculatus	extinct
Cixitettiginae	extinct
Cixitettix_yangi	extinct
Cixius	extinct
Cixius_discretus	extinct
Cixius_fraternus	extinct
Cixius_gracilis	extinct
Cixius_hesperidum	extinct
Cixius_longirostris	extinct
Cixius_petrinus	extinct
Cixius_proavus	extinct
Cixius_sieboldtii	extinct
Cixius_testudinarius	extinct
Cixius_vitreus	extinct
Cladocossus_undulatus	extinct
Clastoptera_comstocki	extinct
Clavaticoris_zhengi	extinct
Clavicoris_cretaceus	extinct
Clavimyiomma_henryi	extinct
Clavopsyllidium_minutum	extinct
Clodionus_fizoli	extinct
Cloresmus_ambimodestus	extinct
Cloresmus_shanwangi	extinct
Closterocoris_elegans	extinct
Coccavus_supercubitus	extinct
Coccidae	extinct
Coccoidea	extinct
Coelidia_columbiana	extinct
Coelidia_wyomingensis	extinct
Coleoscyta	extinct
Coleoscyta_elytrata	extinct
Coleoscyta_kamensis	extinct
Coleoscyta_martynovi	extinct
Coleoscyta_occallata	extinct
Coleoscyta_rotundata	extinct
Coleoscytodes_elytrata	extinct
Coleoscytodes_venosa	extinct
Collarhamphus_mixtus	extinct
Collivetanthocoris_rapax	extinct
Colossocossus_bechlyi	extinct
Colossocossus_giganticus	extinct
Colossocossus_loveridgei	extinct
Colossocossus_rugosa	extinct
Conicaudus_longipes	extinct
Conjucella_selene	extinct
Copallinges_chiapasensis	extinct
Cophocoris_tenebricosus	extinct
Copidopus_jurassicus	extinct
Coptochromus_manium	extinct
Coptosoma_eocenica	extinct
Coreidae	extinct
Coreiopsis_miocenica	extinct
Coreiopsis_parva	extinct
Coreiopsis_punctata	extinct
Coreites_crassus	extinct
Coreites_dubius	extinct
Coreites_oblongus	extinct
Coreites_redemtus	extinct
Coreoidea	extinct
Coreus_serresi	extinct
Corienta_transbaicalica	extinct
Corioides_fortus	extinct
Corioides_longus	extinct
Coriopachys	extinct
Coriopachys_minor	extinct
Coriopachys_parvus	extinct
Corixa	extinct
Corixa_parvoculata	extinct
Corixa_triquetra	extinct
Corixalia_gutta	extinct
Corixidae	extinct
Corixinae	extinct
Corixonecta_hosbayari	extinct
Corixopsis_tuanwangensis	extinct
Corizites_darbiensis	extinct
Corizus_abditivus	extinct
Corizus_celatus	extinct
Corizus_deflagratus	extinct
Corizus_guttatus	extinct
Corizus_somnurnus	extinct
Corollpachymeridium_heteroneurus	extinct
Corrivalius_perbonus	extinct
Corynecoris_occultatus	extinct
Coryphocorixa_zhangi	extinct
Cotradechites_lithinus	extinct
Crassicerus_furtivus	extinct
Crassicerus_limpiduspterus	extinct
Cratocora_crassa	extinct
Cratocoris_shevchenkoae	extinct
Cratocossus_magnus	extinct
Cratonepa_enigmatica	extinct
Cratonerthra_corinthiana	extinct
Cratonerthra_estevezae	extinct
Cratopelocoris_carpinteroi	extinct
Creaphis_theodora	extinct
