Species	Status	min_age	max_age
Palaeontinopsis_liaoxiensis	extinct	157.3	166.1
Palaeontinopsis_sinensis	extinct	157.3	166.1
Archescytina_permiana	extinct	279.3	290.1
Archescytina_kansasensis	extinct	279.3	290.1
Archescytina_muiri	extinct	279.3	290.1
Permopsylla_americana	extinct	279.3	290.1
Lithoscytina_cubitalis	extinct	279.3	290.1
Permopsylla_grandis	extinct	279.3	290.1
Permopsylla_anomala	extinct	279.3	290.1
Permopsylla_americana	extinct	279.3	290.1
Permopsylla	extinct	279.3	290.1
Permopsylla_americana	extinct	279.3	290.1
Stenoviciidae	extinct	252.17	265.1
Archescytina_permiana	extinct	279.3	290.1
Archescytina_kansasensis	extinct	279.3	290.1
Archescytina_muiri	extinct	279.3	290.1
Paleoscytina_brevistigma	extinct	279.3	290.1
Permopsylla_americana	extinct	279.3	290.1
Permopsylla_permiana	extinct	279.3	290.1
Permopsylla_minuta	extinct	279.3	290.1
Permoscarta_mitchelli	extinct	254.17	259.9
Permofulgor_belmontensis	extinct	252.17	254.17
Triassopsylla_plecioides	extinct	242	247.2
Exilcrus_cameriferus	extinct	125.45	130
Dunstania_pulchra	extinct	208.5	228
Mesogereon_neuropunctatum	extinct	208.5	228
Mesojassus_ipsviciensis	extinct	208.5	228
Mesocixiodes_brachyclada	extinct	208.5	228
Paradunstania_affinis	extinct	208.5	228
Dunstaniopsis_triassica	extinct	208.5	228
Chiliocycla_scolopoides	extinct	208.5	228
Mesoscytina_australis	extinct	208.5	228
Mesoscytina_australis	extinct	208.5	228
Mesodiphthera_grandis	extinct	208.5	228
Mesoscytina_australis	extinct	208.5	228
Mesocixius_triassicus	extinct	208.5	228
Ipsvicia_jonesi	extinct	208.5	228
Ipsvicia_maculata	extinct	208.5	228
Ipsvicia_acutipennis	extinct	208.5	228
Eurymelidium_australe	extinct	208.5	228
Triassojassus_proavitus	extinct	208.5	228
Homoptera	extinct	208.5	228
Triassocixius_australicus	extinct	208.5	228
Mesogereon_superbum	extinct	208.5	228
Mesogereon_compressum	extinct	208.5	228
Mesogereon_affine	extinct	208.5	228
Mesogereon_shepherdi	extinct	208.5	228
Mitchelloneura_permiana	extinct	254.17	259.9
Pristinochterus_ovatus	extinct	125.45	130
Pristinochterus_ovatus	extinct	122.46	125.45
Floricaudus_multilocellus	extinct	125.45	130
Floricaudus_multilocellus	extinct	125.45	130
Angulochterus_quatrimaculatus	extinct	125.45	130
Angulochterus_quatrimaculatus	extinct	125.45	130
Apheloscyta_mesocampta	extinct	208.5	228
Mesodiphthera_prosboloides	extinct	208.5	228
Mesodiphthera_dunstani	extinct	208.5	228
Mesocixiodes_termioneura	extinct	208.5	228
Eoscartoides_orthocladus	extinct	208.5	228
Mesocixiodes_brachyclada	extinct	208.5	228
Ipsviciopsis_elegans	extinct	208.5	228
Ipsviciopsis_magna	extinct	208.5	228
Dunstaniidae	extinct	208.5	228
Triassocoris_myersi	extinct	208.5	228
Triassocoris_scutulum	extinct	208.5	228
Triassocoris	extinct	208.5	228
Triassocoris_ovalis	extinct	208.5	228
Triassocoris_grandis	extinct	208.5	228
Sinovelia_mega	extinct	125.45	130
Sinovelia_popovi	extinct	125.45	130
Martynovocossus_punctulosus	extinct	157.3	166.1
Martynovocossus_bellus	extinct	157.3	166.1
Martynovocossus_punctulosus	extinct	157.3	166.1
Yanliaocorixa_chinensis	extinct	157.3	166.1
Jiulongshanocorixa_genuina	extinct	157.3	166.1
Daohugocorixa_vulcanica	extinct	157.3	166.1
Karataviella_popovi	extinct	157.3	166.1
Reduviidae	extinct	66	70.6
