"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"598304","occ","","","63418","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598305","occ","","","63419","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598306","occ","","","63420","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598307","occ","","","63421","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598375","occ","","","63429","Mammut americanum","species","46016","Late Pleistocene","Holocene","0.126","0","18245","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598685","occ","","","63449","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598686","occ","","","63450","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598687","occ","","","63451","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598688","occ","","","63452","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598689","occ","","","63453","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598690","occ","","","63454","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598691","occ","","","63456","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"598700","occ","","","63457","Mammut americanum","species","46016","Late Pleistocene","","0.126","0.0117","18184","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
