"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"162920","162920","txn","","species","Stegodon kaisensis","43271","31949","extinct","16","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"161881","161882","txn","","species","Stegodon florensis","43271","31625","extinct","4","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"157815","157815","txn","","species","Stegodon sondaari","43271","31625","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"162471","162471","txn","","species","Stegodon mindanensis","43271","31885","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"164278","164278","txn","","species","Stegodon luzonensis","43271","32220","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"161880","161880","txn","","species","Stegodon sompoensis","43271","31625","extinct","10","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"170136","170136","txn","","species","Stegodon syrticus","43271","33257","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"161878","161878","txn","","species","Stegodon trigonocephalus","43271","31626","extinct","5","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"295390","295390","txn","","species","Stegodon yuanmouensis","43271","51236","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"162470","162470","txn","","species","Stegodon sumbaensis","43271","31884","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon",""
"157819","157820","txn","","species","Loxodonta cyclotis","43265","31192","extant","0","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta",""
"159789","159789","txn","","species","Loxodonta creutzburgi","43265","31397","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta",""
"157817","157818","txn","","species","Loxodonta africana","43265","31192","extant","25","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta",""
"227257","227258","txn","","species","Primelephas korotorensis","43267","40696","extinct","27","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas",""
"46027","47880","txn","","species","Mammuthus primigenius","43266","6221","extinct","53","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"161899","161899","txn","","species","Archidiskodon celebensis","43266","31625","extinct","11","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"54396","54396","txn","","species","Archidiskodon weifangensis","43266","9190","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"46026","47879","txn","","species","Mammuthus meridionalis","43266","2702","extinct","108","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"159796","159796","txn","","species","Mammuthus trogontherii","43266","31358","extinct","34","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"44254","47876","txn","","species","Mammuthus hayi","43266","6221","extinct","17","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"46019","47874","txn","","species","Mammuthus exilis","43266","3107","extinct","2","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"159784","159785","txn","","species","Mammuthus lamarmorae","43266","31397","extinct","2","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"46017","47873","txn","","species","Mammuthus columbi","43266","26727","extinct","118","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus",""
"159780","159780","txn","","species","Elephas falconeri","43264","31397","","2","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159794","159794","txn","","species","Elephas cypriotes","43264","31397","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159779","159779","txn","","species","Elephas melitensis","43264","31397","","0","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159805","159805","txn","","species","Loxodonta (Palaeoloxodon) tokunagai","43264","31400","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"133588","159800","txn","","species","Palaeoloxodon recki","43264","31396","extinct","255","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159781","159798","txn","","species","Palaeoloxodon antiquus","43264","31396","extinct","48","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159778","159778","txn","","species","Palaeoloxodon mnaidriensis","43264","31396","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159799","159799","txn","","species","Palaeoloxodon naumanni","43264","31396","extinct","3","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"104147","104147","txn","","species","Elephas maximus","43264","12782","extant","3","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159793","159793","txn","","species","Elephas chaniensis","43264","31397","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"95588","95588","txn","","species","Elephas moghrebiensis","43264","23392","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"157821","157821","txn","","species","Elephas nawataensis","43264","31192","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159787","159787","txn","","species","Elephas creticus","43264","31397","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"159788","159788","txn","","species","Elephas priscus","43264","31397","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"164279","164279","txn","","species","Elephas beyeri","43264","32220","extinct","1","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas",""
"170134","170134","txn","","species","Stegotetrabelodon lybicus","43259","33257","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon",""
"159433","159433","txn","","species","Stegotetrabelodon syrticus","43259","33114","extinct","0","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon",""
