"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=primates&taxon_reso=species"
"Access Time","Thu 2017-02-02 00:25:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.117"
"Records Found","2898"
"Records Returned","2898"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"165570","occ","","","14934","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1534"
"165572","occ","10011","","14934","Carpodaptes cf. stonleyi","species","44945","","Carpodaptes stonleyi","species","44945","Tiffanian","","61.7","56.8","7175"
"165576","occ","467","","14935","Chiromyoides n. sp. potior","species","45060","","Chiromyoides potior","species","45060","Tiffanian","","61.7","56.8","1634"
"165597","occ","","","14936","Chiromyoides n. sp. minor","species","45059","","Chiromyoides minor","species","45059","Tiffanian","","61.7","56.8","1731"
"165598","occ","","","14936","Plesiadapis cf. rex","species","50441","","Plesiadapis rex","species","52194","Tiffanian","","61.7","56.8","1731"
"165599","occ","","","14936","Carpodaptes cf. hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","1731"
"165600","occ","","","14936","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1731"
"165630","occ","","","14937","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","3717"
"165633","occ","","","14937","Plesiadapis cf. rex","species","50441","","Plesiadapis rex","species","52194","Tiffanian","","61.7","56.8","3717"
"165634","occ","","","14937","Carpodaptes hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","3717"
"165675","occ","","","14939","Paromomys depressidens","species","50015","","Paromomys depressidens","species","50015","Ti1","","61.7","56.8","1730"
"165676","occ","478","","14939","Torrejonia cf. sirokyi","species","52402","","Torrejonia sirokyi","species","50458","Ti1","","61.7","56.8","6294"
"165677","occ","","","14939","Ignacius fremontensis","species","47352","","Ignacius fremontensis","species","50325","Ti1","","61.7","56.8","1534"
"165678","occ","","","14939","Ignacius cf. frugivorus","species","47353","","Ignacius frugivorus","species","47353","Ti1","","61.7","56.8","1534"
"165680","occ","","","14939","Nannodectes intermedius","species","48974","","Nannodectes intermedius","species","50862","Ti1","","61.7","56.8","1534"
"165681","occ","","","14939","Plesiadapis praecursor","species","50440","","Plesiadapis praecursor","species","50440","Ti1","","61.7","56.8","1534"
"165682","occ","","","14939","Plesiadapis cf. anceps","species","50429","","Plesiadapis anceps","species","50429","Ti1","","61.7","56.8","1534"
"165683","occ","","","14939","Elphidotarsius n. sp. russelli","species","46064","","Elphidotarsius russelli","species","46064","Ti1","","61.7","56.8","1534"
"165684","occ","","","14939","Carpodaptes cf. hazelae","species","44940","","Carpodaptes hazelae","species","44940","Ti1","","61.7","56.8","1534"
"165685","occ","13600","","14939","Picrodus n. sp. canpacius","species","68068","","Picrodus canpacius","species","68068","Ti1","","61.7","56.8","14679"
"165742","occ","","","14944","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1375"
"165743","occ","","","14944","Plesiadapis fodinatus","species","50434","","Plesiadapis fodinatus","species","50434","Tiffanian","","61.7","56.8","1375"
"165744","occ","","","14944","Chiromyoides potior","species","45060","","Chiromyoides potior","species","45060","Tiffanian","","61.7","56.8","1375"
"165745","occ","10028","","14944","Carpodaptes hobackensis","species","44941","","Carpodaptes hobackensis","species","44941","Tiffanian","","61.7","56.8","7175"
"165767","occ","","","14948","Palaechthon cf. woodi","species","49622","","Palaechthon woodi","species","49622","Tiffanian","","61.7","56.8","3646"
"165771","occ","","","14949","Plesiadapis rex","species","50441","","Plesiadapis rex","species","52194","Tiffanian","","61.7","56.8","1534"
